what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1274991126010
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1274991126011
os,sysinfo,,,"win32",1274991126014
arch,sysinfo,,,"x86",1274991126014
ws,sysinfo,,,"win32",1274991126014
locale,sysinfo,,,"en_US",1274991126014
processors,sysinfo,,,"4",1274991126014
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274991126014
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1274991126014
java.specification.name,sysinfo,,,"Java Platform API Specification",1274991126014
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274991126014
java.specification.version,sysinfo,,,"1.6",1274991126014
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274991126014
java.version,sysinfo,,,"1.6.0_19",1274991126014
java.vm.info,sysinfo,,,"mixed mode, sharing",1274991126014
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274991126014
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274991126014
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274991126014
java.vm.specification.version,sysinfo,,,"1.0",1274991126014
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274991126014
java.vm.version,sysinfo,,,"16.2-b04",1274991126014
activated,view,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui.explorer",1274991130976
activated,view,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui.explorer",1274991131024
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1274991131041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274991151835
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274991161202
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1274991161212
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1274991161481
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1274991174589
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274991174600
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1274991174612
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1274991174619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274991174667
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274991174851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274991221805
